CLOUD,PubChem,SIDER_Ids
CLOUD011,100004885,C0017152;C0521839;C0497156;C0013456;C0027858;C0267596;C0037036;C0033860;C0947912;C0003578;C0011253;C0011251;C0231530;C0026603;C0024437;C0221706;C0003873;C0043352;C0002871;C0231835;C0392156;C0080274;C0036454;C0018916;C1320474;C0340464;C0027651;C0002170;C0009763;C0151836;C0428977;C0021122;C0032781;C0428974;C0013295;C0085694;C0017979;C0948349;C0233657;C0151610;C0032290;C0017574;C0151205;C0036396;C0007642;C0085593;C1096185;C2830004;C0028081;C0023434;C0028084;C2364111;C1527311;C0015672;C0085628;C0014130;C0242379;C0015403;C0085623;C0042571;C0040264;C0011849;C0006277;C0016199;C0854193;C0085932;C0020443;C0233407;C0019079;C0852566;C0013922;C0040822;C0042075;C0022568;C0029445;C0018099;C0014724;C0003537;C0030554;C0013384;C0392525;C0007971;C0037672;C0031099;C0687713;C0853692;C0345904;C0476089;C0917798;C0233472;C0022665;C0233477;C0018418;C0017601;C0039231;C0423153;C0851341;C0039239;C0549209;C0030252;C0030318;C0241057;C0011168;C0041976;C0011206;C0151500;C0338831;C0013144;C0575090;C0009782;C0033687;C0151713;C0035455;C0006271;C0877322;C0019521;C0026764;C1510410;C0001807;C0035078;C2242575;C2242574;C0600260;C0029878;C0008350;C0002962;C0851578;C0033575;C0917801;C0033578;C0034212;C0423791;C0085096;C0042510;C0442874;C0343026;C0041657;C0042401;C0019322;C0242350;C0347390;C0023903;C0234632;C0014866;C0341164;C0027404;C0015967;C0001418;C0085639;C0702166;C0035854;C0014869;C0476273;C0027962;C0854382;C0020538;C0740394;C0033774;C0042109;C0034186;C0919582;C0003813;C0085636;C0013447;C0018991;C0227791;C0017086;C0017168;C0014488;C0153452;C0340279;C0542571;C0030193;C0233794;C0030196;C0025874;C0011124;C0027497;C0013595;C0426649;C0020625;C0020621;C0022650;C0003962;C0023530;C0744403;C0029927;C0743680;C0028432;C0029191;C0858635;C0010200;C0037299;C0700361;C0011334;C0019112;C0235234;C0009450;C0021053;C0012833;C0004134;C0233762;C0233763;C0027441;C1384666;C0231919;C0264893;C0151937;C0011991;C0016508;C0001361;C0029443;C0312420;C0312422;C0038814;C0006285;C0026848;C0019360;C0033036;C0015397;C0151692;C0024117;C0035410;C0152128;C0043096;C0043094;C0014534;C0520966;C0009806;C0033581;C0085631;C0016436;C0085633;C0011053;C0158252;C0151907;C0020578;C0022904;C0020473;C0694563;C0027092;C0018790;C0518988;C0009241;C0014549;C0018799;C0242362;C0679048;C0028961;C0497327;C0013395;C0013390;C0521516;C0085649;C0031542;C0011570;C0085642;C0392025;C0024205;C0424000;C0013491;C0234930;C0740482;C0239134;C0235169;C0243026;C0232461;C0232462;C0851353;C0018944;C0851354;C0037011;C0030305;C0002453;C0007114;C0028768;C0040034;C0003862;C0151966;C0011175;C0038990;C0000731;C0007780;C0000737;C0000735;C0013404;C0003850;C0029408;C0017160;C0042963;C0040425;C0085632;C0162285;C0018932;C0003123;C0158775;C0235309;C0039520;C0152169;C0086168;C0877338;C0549249;C0041912;C1527344;C0235266;C0151814;C0035067;C0037384;C0220983;C0012624;C0015371;C0008325;C0234987;C0151636;C0522172;C0027051;C1510471;C0042029;C3489393;C0042024;C0234144;C0042023;C0005741;C0005745;C0005747;C0158026;C1458155;C0027796;C0008031;C0006826;C0030508;C0039503;C0021843;C0236024;C2607914;C0020505;C0040435;C0039070;C0032300;C0039971;C1519353;C1527249;C0149793;C0149871;C0016382;C0025202;C0877046;C0014863;C0037195;C0233414;C0032285;C0037199;C0036508;C0234458;C0235086;C0034150;C1140680;C0007859;C0836924;C0016204;C0948525;C0600104;C0024236;C0151717;C0020615;C0040261;C0032231;C0014868;C0015402;C0020598;C0033893;C0541832;C0004093;C0004096;C0037287;C0037286;C0017185;C0036572;C0030232;C0017181;C0542313;C0018979;C0042134;C0009421;C0017178;C0006852;C0035305;C0036974;C0010692;C0231218;C0011616;C0023380;C0018800;C0018801;C0018802;C0023067;C0038363;C0037274;C0241060;C0014335;C0042373;C0026837;C0031212;C0152030;C0152031;C0235351;C0009324;C0021400;C0025061;C2173677;C0237849;C0549622;C0031256;C0005684;C0032326;C0020546;C0043387;C0393761;C0393760;C0040046;C0027066;C0018681;C0006384;C0149931;C0033117;C0026946;C0376358;C0013362;C0007137;C0030578;C1145670;C0600142;C0027424;C0016242;C0264906;C0014591;C0040136;C0002940;C0236075;C0001430;C0233514;C0497201;C0018021;C0037822;C0153676;C0003467;C0033975;C0024902;C0314719;C0267792;C0008301;C0021141;C0231528;C0038661;C0023518;C0003864;C0020649;C0870082;C1443060;C0041834;C0231807;C0699744;C0004604;C0012569;C0236106;C0039240;C0162298;C0015230;C0013182;C0018926;C0027121;C0009676;C0004936;C0549475;C0151827;C0151824;C0151825;C1565489;C0152198;C0007785;C0006625;C0242301;C0019294;C0154833;C0574067;C0855247;C0404521;C0019348;C0042420;C0025323;C0004238;C0042345;C0020651;C0151736;C0029456;C0002064;C0006444;C0019917;C0347197;C0010520;C0085614;C0344232;C0085611;C0085610;C0554976;C0023066;C0020517;C0020453;C0013609;C1262144;C0020458;C0013604;C0232431;C0015469;C0031350;C1260880;C0028734;C2939147;C0235710;C0028738;C0013428;C0034065;C0006849;C0037763;C0034063;C1258215;C1456784;C0522224;C2937358;C0043241;C0007117;C0042769;C0020580;C0232487;C0037278;C0022104;C0022107;C0018965;C0333243;C0151596;C0151908;C0027769;C0575081;C0012813;C0021177;C0040053;C0027765;C0024299;C0086543;C0020676;C0151888;C0151889;C0011603;C0596170;C0268000;C0037383;C0003615;C0235927;C0038358;C0162834;C0018817;C0006142;C0009319;C0006145;C0026827;C0026826;C0424295;C0026821;C0015645;C0008489;C3665347;C0152029;C0232492;C0030662;C0265101;C0002622;C0005697;C0020550;C0221269;C0152027;C0029882;C0040460;C0162316;C0520477;C0235146;C0043144;C0037315;C0178298;C0015732;C2979982;C0030567;C0007286;C0547030;C0013378;C0027430;C1253936;C0234913;C0162429;C0020456;C0000833;C0086439;C0018524;C0023212;C2981158;C0042133;C0023218;C0006325
CLOUD012,100002551,C0036104;C0155111;C0003811;C0038990;C0004096;C0011991;C0042963;C0677500;C0235229;C0022081;C0010038;C0026821;C0039070;C1761613;C0235266;C0700590;C0035305;C0020649;C0000729;C0016382;C0221490;C0018681
CLOUD013,100156326,C0015371;C0037036;C0032961;C0919578;C0004936;C0043352;C0002871;C0011168;C0340865;C0236024;C0424000;C0030196;C0027497;C0039070;C0234133;C0006384;C0020625;C0023530;C0035258;C0036341;C0242422;C0085610;C0020514;C0020517;C2830004;C0162429;C0020456;C0027849;C0021053;C0012833;C0392156;C0747979;C0015672;C0011849;C0034065;C0036572;C0037763;C0149745;C0041582;C0020538;C0002792;C0018939;C0015397;C0040822;C0017672;C0017178;C0035410;C0043094;C0015230;C0009806;C0085631;C0013384;C0022107;C0027765;C0427086;C0021368;C0086132;C0042373;C0026837;C0151905;C0027609;C0267792;C0221423;C0520893;C0001824;C0025061;C0018799;C0018418;C0038999;C0039231;C0549622;C0013395;C0039239;C0085649;C0011570;C0521591;C0521592;C0006145;C0236068;C0686347;C0151878;C0232461;C0013362;C0009782;C0235660;C0002994;C0005758;C0020557;C0152198;C0002453;C0040460;C0040034;C0236071;C0027947;C0043144;C1522133;C0013404;C0020651;C0160390;C0917801;C0013378;C0042963;C0003467;C0033975;C0235309;C0038661;C0003862;C0020649;C0018681
CLOUD014,,
CLOUD015,2165,
CLOUD016,100077998,C0038454;C0009782;C0015230;C0234632;C0004604;C0009806;C0002994;C0851353;C0037199;C0020433;C0020557;C0043094;C0267792;C0027051;C0018801;C0018802;C0038325;C0342592;C0040034;C0019158;C0038045;C0020473;C0020456;C0232461;C0009450;C0013604;C0021053;C0027765;C0020615;C0012833;C0033774;C0020538;C0231528;C0042109;C1522133;C0162275;C0002871;C0018799;C0015672;C0744727;C0016658;C0011991;C0268000;C0011849;C0151744;C0857483;C0085605;C0022116;C0034063;C0027441;C0162429;C0020443;C0271051;C0341047;C0002792;C0027497;C0085649;C0015397;C0235996;C0086565;C0003862;C0017178;C0041912;C0232097;C0032227;C0206277;C0023530;C0018681
CLOUD017,100016230,C0547030;C0019080;C0015230;C0030252;C0004604;C0009806;C0235318;C0242350;C0030554;C0033774;C0040822;C0027424;C0553704;C0037763;C0007859;C0016204;C0010200;C0232459;C0231230;C0027769;C0009676;C2830004;C0030920;C0019151;C0151786;C0023895;C0032617;C0042023;C0012833;C0022346;C0000737;C0008031;C0013404;C0030193;C0234708;C0085620;C0002874;C0020651;C0039971;C0002962;C0917801;C0013395;C0004093;C0042571;C0011991;C0040264;C0013428;C0012797;C0740394;C0085584;C0017181;C0011570;C0020461;C0948521;C0018834;C0042963;C0030196;C0011124;C0476289;C0027497;C0003123;C0002170;C0009421;C0026821;C0086565;C0003862;C0027947;C0020625;C0015672;C0036974;C0018418;C0428977;C0018681
CLOUD018,100003652,C0032708;C0234632;C0007682;C0033860;C0015967;C0004134;C0020615;C0038325;C3160840;C0151786;C0004936;C0033774;C0042109;C0002871;C0877055;C0002874;C0878544;C0302809;C0152191;C0151773;C0036454;C1260926;C0030193;C0542184;C0027497;C0002170;C0349506;C0023530;C0333244;C0422974;C0162835;C0333641;C0242429;C0020517;C0162429;C0013604;C0028084;C0012833;C0024437;C0086565;C0015672;C0004093;C0042571;C0011991;C0028738;C0040264;C0332579;C0036572;C0030232;C0312422;C0522224;C0026848;C0155550;C1760428;C0263358;C0029124;C1963822;C0035309;C0730362;C0043096;C0015230;C0085636;C0085631;C0006266;C0085633;C0022107;C0027765;C0018801;C0027769;C0023895;C0009938;C0151907;C1971624;C0233472;C0162557;C0001824;C0235169;C0027868;C0011606;C0151766;C0011609;C0011570;C0003123;C0015397;C1168188;C0235818;C0013144;C0000729;C0235283;C0344232;C0014742;C0002994;C0014518;C0152198;C0302295;C0220870;C0040034;C0019080;C0086525;C0007222;C0000737;C0178298;C0028077;C0547030;C1384666;C0042963;C0018939;C0033975;C0162281;C0859996;C0086439;C0344375;C0014457;C0018681
CLOUD019,100002806,C0017152;C0004604;C0020433;C0015967;C0162119;C0235818;C0035317;C0014868;C0018924;C0009676;C0085932;C0038325;C0235437;C0004936;C0740394;C0000731;C0033774;C0042109;C0392171;C0002871;C0002874;C1565489;C0340865;C0027796;C0008031;C0005940;C0151603;C0021845;C0013491;C1112525;C3241936;C1145628;C0854029;C0030193;C0341163;C0027497;C0392386;C2010560;C0039070;C0013595;C0009763;C0553692;C0025323;C0086565;C0019054;C0206061;C1527407;C0017658;C0013295;C0023530;C1963943;C0032285;C0037199;C0002962;C0027543;C0019270;C0034150;C0010200;C0016204;C0034155;C0020517;C0037299;C0162429;C0009450;C0013604;C0021053;C0020615;C0012833;C0687133;C0268732;C0235431;C0016470;C3665346;C0221512;C0919883;C1961112;C0015672;C1112632;C0004096;C0042571;C0011991;C0040264;C0006277;C0034065;C0400822;C0042029;C0015402;C1456822;C0005778;C0151699;C2937358;C0019079;C0002792;C0018939;C0015397;C0023646;C0235996;C0022408;C0017178;C0003467;C0020580;C0151529;C0002884;C0031117;C0004093;C0042075;C0017181;C0042384;C0018099;C0020538;C0015230;C0009806;C0005779;C0030554;C0006266;C0235560;C0018965;C0027765;C0018801;C0038362;C0853697;C0037274;C0151746;C0019069;C0041582;C0549433;C0019065;C0042373;C0162316;C0023418;C0267792;C0022660;C0009938;C0162557;C0001824;C0018944;C0086543;C1096116;C0020443;C0151766;C0013395;C0025061;C0011609;C0085649;C0021775;C1168290;C0030252;C0011570;C0038358;C0039338;C0030312;C0549356;C0857493;C0009319;C0151970;C0151971;C0341245;C0574741;C0014742;C0851353;C0002994;C0035455;C0014518;C0851354;C0030305;C2939465;C0034152;C0014591;C0160390;C0019158;C1608945;C0019080;C0030920;C0027947;C0151578;C0007222;C0042790;C0000737;C0178298;C0013404;C0423008;C0221016;C0019159;C0151705;C0035460;C0151701;C0917801;C0235490;C0475858;C1384666;C0042963;C0014457;C0423791;C0333291;C0036830;C0234913;C0015695;C0010692;C0231528;C0152169;C0019123;C0003862;C0041912;C0018524;C0003864;C0020649;C0206277;C0023218;C0221490;C0018681
CLOUD020,100005530,C0036420;C0015230;C0857121;C0009806;C0028643;C0085631;C0751295;C0427008;C0009676;C0015967;C0344232;C0085593;C0085623;C0040034;C0019158;C0019080;C0221154;C0497247;C0231613;C0013604;C0042023;C0012833;C0004134;C0001824;C0042109;C0234233;C0000737;C0043352;C0002871;C0242350;C0038525;C0039231;C0151315;C0917801;C0038990;C0004093;C0011991;C0040264;C0042963;C0018939;C0010666;C0030232;C0020546;C0030252;C0080274;C0948396;C0030193;C0857353;C0151699;C0013144;C0233407;C0021141;C0027066;C0027497;C0003467;C0039070;C0002170;C0040822;C0428977;C0003123;C0037763;C0042024;C0030554;C0026961;C0020649;C0016382;C0023530;C0018681
