CLOUD,Targets,Transporters,Enzymes,Carriers
CLOUD083,4864;8321;3458;79915;196;3717;9734;9367;3091;1812;7066;5021;672;8795;1956;1393;4137;2475;4780;2737;2099;52;2101;65975;1080;6714;190;4286;3061;5315;580;26054;3553;5914;6606;6607;2260;7253;2778;3791;123228;55775;4193;4194;4067;3815;6311;51053;367;6256;9970;1395;114548;7157;6774;57337,,1559;1544;1576;1565;1588;3417;2645,
CLOUD084,3356;1813;1813;3350;3350;3351;3352;3354;3358;3359;3362;3363;1812;1812;1816;1816;1814;1814;1815;1815;3269;148;147;150;151;152;152;1128;1129;1131;1132;1133;3005;7941;3357;3361;2737;2099;2101;285242;317;5999;170572;200909;134864;2769;9177;55775;367;4193;4194;5871;4215,6532;3757;5243,1577;1551;1565;1565;1565;1576;5243,5243
CLOUD085,,,1588;1588;1544;1559;1576;54657,
CLOUD086,3320;7184;10242;8856;5914;4780;2737;2099;2100;2101;3778;3779;55775;367;4137;7421,,1576;1576;1544,
CLOUD087,7846;10383;5602;9734;196;79915;4780;51053;3458;3791;367;2101;7157;65975;25;3354;5468;9971;2100;55775,5243,1576;1543;1544;5243,5243
CLOUD088,2099;8856;135;140;5914;3458;2737;2100;2101;389816;834;3779;3784;22861;6097;7253;27345;5467;2908;55775;3315;10242;51053;367;9970;9971;114548;7157;3576;4986;4988,54658;54658;8647;8647;6554;1244;5243;6530;6531;6532;146802;6582;55244,1576;1558;54658;54658;5243;1544;1555;1557;1559;1565;6817;316;55244;3417,6462;5243;6582;55244
CLOUD089,11201;8202;3458;5650;573971;4780;2350;5423;2494;5429;672;580;8648;54737;2516;8795;5468;55775;4193;4194;9970;9971;2101;7157;7421,8714;8714;10257;10257;4363;4363;9356;9356;89845;9376;9376;1244;1244;5243;6579;6566;85320;28234;55867;53919;28232;9429;10864;113235;113235;10599;353189;6573;2348;213,1719;1719;316;4524;5226;2356;7298;471;8836;9356;9356;9376;9376;5243;28234;1544;1557;1559;1565;1576;3417,5243;10599;6573;213
CLOUD090,3674;2101,,,3690
CLOUD091,196;2737;2101;351;2902;2903;2904;55775;9970;7157;1129;1145;1268;1269,5243;6530;6582;55244,43;590;1066;1544;5243;1565;1576;55244;3176;246,5243;6582;55244
CLOUD092,10800;10242;774;57105;10392;367;7329;7458;5468;29994;4780;5423;2100;389816;9536;3778;3779;196;10054;10055;3784;140;8912;27345;598;2648;5594;2908;7398;8856;51053;2671;5499;8828;7421;1956;6916;1432;5595,9429;6582;55244;146802,1559;1559;1558;1558;5742;1576;1576;1544;1557;1571;1565;55244,6582;55244
