CLOUD,KeGG_DrugID,KeGG_Assigned_Pathways,Via_Target_Assigned
CLOUD021,D00900,ko05164,path:hsa04974;path:hsa04976;path:hsa04142;path:hsa00511;path:hsa02010;path:hsa04024;path:hsa00983;path:hsa00600
CLOUD022,,,path:hsa04151;path:hsa04810;path:hsa04020;path:hsa04024;path:hsa04080;path:hsa04725
CLOUD023,D07870,hsa04020;hsa04080;hsa04728,path:hsa04151;path:hsa05230;path:hsa00380;path:hsa05020;path:hsa00340;path:hsa05223;path:hsa05220;path:hsa05226;path:hsa00830;path:hsa05167;path:hsa00330;path:hsa05231;path:hsa04971;path:hsa05211;path:hsa04721;path:hsa04722;path:hsa04211;path:hsa04726;path:hsa04728;path:hsa05218;path:hsa05219;path:hsa04964;path:hsa00140;path:hsa04110;path:hsa04066;path:hsa00360;path:hsa04213;path:hsa05222;path:hsa05166;path:hsa04976;path:hsa05224;path:hsa04146;path:hsa04141;path:hsa04140;path:hsa05014;path:hsa03410;path:hsa05016;path:hsa04540;path:hsa04713;path:hsa04137;path:hsa04115;path:hsa04152;path:hsa04550;path:hsa05217;path:hsa05225;path:hsa04919;path:hsa04261;path:hsa05215;path:hsa05213;path:hsa00260;path:hsa04020;path:hsa04024;path:hsa05418;path:hsa04270;path:hsa00980;path:hsa00982;path:hsa03030;path:hsa05160;path:hsa00590;path:hsa00591;path:hsa04966;path:hsa04659;path:hsa04015;path:hsa04014;path:hsa04970;path:hsa04972;path:hsa04010;path:hsa04071;path:hsa00232;path:hsa05031;path:hsa05205;path:hsa05204;path:hsa05206;path:hsa04310;path:hsa05203;path:hsa05202;path:hsa05161;path:hsa05012;path:hsa05162;path:hsa00910;path:hsa05200;path:hsa05165;path:hsa04080;path:hsa00350;path:hsa04022;path:hsa04210;path:hsa04216;path:hsa04218;path:hsa05163;path:hsa03450;path:hsa05169;path:hsa05216;path:hsa04742;path:hsa05214;path:hsa05212;path:hsa05210;path:hsa05032;path:hsa05034;path:hsa05030;path:hsa05168;path:hsa04340
CLOUD024,D03150,hsa03050,path:hsa04151;path:hsa05230;path:hsa04610;path:hsa04612;path:hsa00380;path:hsa05223;path:hsa05220;path:hsa05226;path:hsa04926;path:hsa00830;path:hsa04920;path:hsa04660;path:hsa04662;path:hsa05321;path:hsa05167;path:hsa04350;path:hsa05231;path:hsa04971;path:hsa05132;path:hsa05211;path:hsa05134;path:hsa04722;path:hsa04211;path:hsa04726;path:hsa05218;path:hsa05330;path:hsa05332;path:hsa05133;path:hsa04931;path:hsa04932;path:hsa04933;path:hsa05219;path:hsa04964;path:hsa00140;path:hsa04110;path:hsa04114;path:hsa04066;path:hsa04630;path:hsa04614;path:hsa05150;path:hsa05222;path:hsa04062;path:hsa05322;path:hsa05221;path:hsa05166;path:hsa04974;path:hsa04976;path:hsa05224;path:hsa04940;path:hsa04145;path:hsa04141;path:hsa04140;path:hsa04142;path:hsa05010;path:hsa05014;path:hsa05016;path:hsa05143;path:hsa04668;path:hsa05323;path:hsa05146;path:hsa04810;path:hsa05144;path:hsa04137;path:hsa04115;path:hsa05120;path:hsa04217;path:hsa05217;path:hsa05225;path:hsa04919;path:hsa05215;path:hsa05213;path:hsa05142;path:hsa04625;path:hsa04620;path:hsa04621;path:hsa04024;path:hsa04623;path:hsa04370;path:hsa04371;path:hsa04915;path:hsa05418;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa04961;path:hsa05160;path:hsa04924;path:hsa00590;path:hsa00591;path:hsa05152;path:hsa04966;path:hsa04659;path:hsa04658;path:hsa04014;path:hsa04972;path:hsa04010;path:hsa04650;path:hsa05140;path:hsa04657;path:hsa05145;path:hsa04071;path:hsa00232;path:hsa03320;path:hsa05131;path:hsa03440;path:hsa05205;path:hsa05204;path:hsa04917;path:hsa05206;path:hsa04310;path:hsa05203;path:hsa05202;path:hsa05161;path:hsa05162;path:hsa00910;path:hsa05200;path:hsa05165;path:hsa04080;path:hsa04380;path:hsa05170;path:hsa05164;path:hsa04210;path:hsa04064;path:hsa04060;path:hsa04216;path:hsa04218;path:hsa05163;path:hsa05169;path:hsa05216;path:hsa05214;path:hsa05212;path:hsa05210;path:hsa03050;path:hsa04622;path:hsa05030;path:hsa04913;path:hsa05168
CLOUD025,,,path:hsa04151;path:hsa05230;path:hsa00380;path:hsa05020;path:hsa04750;path:hsa05223;path:hsa04611;path:hsa05220;path:hsa05226;path:hsa04510;path:hsa04520;path:hsa04150;path:hsa04928;path:hsa04926;path:hsa04925;path:hsa04923;path:hsa00830;path:hsa04921;path:hsa04920;path:hsa04660;path:hsa04662;path:hsa05321;path:hsa04664;path:hsa04666;path:hsa05167;path:hsa04350;path:hsa05231;path:hsa04971;path:hsa05132;path:hsa05211;path:hsa04720;path:hsa04723;path:hsa04722;path:hsa04211;path:hsa04724;path:hsa04726;path:hsa04728;path:hsa05218;path:hsa05133;path:hsa04930;path:hsa04931;path:hsa04932;path:hsa04933;path:hsa04934;path:hsa05219;path:hsa03460;path:hsa00140;path:hsa04110;path:hsa04114;path:hsa05414;path:hsa04066;path:hsa04630;path:hsa04144;path:hsa04213;path:hsa04730;path:hsa05222;path:hsa04062;path:hsa05221;path:hsa05166;path:hsa04912;path:hsa04976;path:hsa05224;path:hsa04012;path:hsa04146;path:hsa04140;path:hsa05010;path:hsa05014;path:hsa04973;path:hsa05016;path:hsa04540;path:hsa04068;path:hsa04668;path:hsa05410;path:hsa04713;path:hsa04810;path:hsa04137;path:hsa04115;path:hsa04360;path:hsa04152;path:hsa00100;path:hsa04922;path:hsa04550;path:hsa02010;path:hsa05217;path:hsa04260;path:hsa05225;path:hsa04919;path:hsa04261;path:hsa05215;path:hsa04390;path:hsa05213;path:hsa05142;path:hsa04625;path:hsa04020;path:hsa04620;path:hsa04621;path:hsa04024;path:hsa04370;path:hsa04371;path:hsa04915;path:hsa05418;path:hsa04270;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa00860;path:hsa04960;path:hsa05160;path:hsa04924;path:hsa00590;path:hsa00591;path:hsa05152;path:hsa04659;path:hsa04658;path:hsa04015;path:hsa04014;path:hsa04970;path:hsa04010;path:hsa04650;path:hsa05140;path:hsa04657;path:hsa05145;path:hsa04071;path:hsa04070;path:hsa04072;path:hsa00232;path:hsa00230;path:hsa05131;path:hsa05031;path:hsa03440;path:hsa05205;path:hsa05204;path:hsa04917;path:hsa05206;path:hsa04310;path:hsa05203;path:hsa05202;path:hsa05161;path:hsa05012;path:hsa05162;path:hsa05200;path:hsa05165;path:hsa04080;path:hsa04380;path:hsa00053;path:hsa05170;path:hsa05164;path:hsa04640;path:hsa04022;path:hsa04210;path:hsa04060;path:hsa04216;path:hsa04218;path:hsa04725;path:hsa05163;path:hsa05169;path:hsa05216;path:hsa04742;path:hsa05214;path:hsa04740;path:hsa05212;path:hsa05210;path:hsa04744;path:hsa05032;path:hsa05034;path:hsa05030;path:hsa00040;path:hsa04910;path:hsa04911;path:hsa04916;path:hsa05168;path:hsa04914
CLOUD026,,,path:hsa00830;path:hsa05167;path:hsa00140;path:hsa04144;path:hsa04062;path:hsa04976;path:hsa04915;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa00591;path:hsa05145;path:hsa05204;path:hsa05203;path:hsa04080;path:hsa05170;path:hsa04060;path:hsa05163;path:hsa05032
CLOUD027,D09567,hsa04114;hsa04914;hsa04915,path:hsa00380;path:hsa00830;path:hsa00140;path:hsa04114;path:hsa04976;path:hsa05224;path:hsa05215;path:hsa04915;path:hsa00980;path:hsa00983;path:hsa00982;path:hsa00591;path:hsa00232;path:hsa05204;path:hsa05200;path:hsa04080;path:hsa04918;path:hsa04914
CLOUD028,D01204,hsa04080;hsa04261;hsa04270;hsa04614,path:hsa04927;path:hsa04925;path:hsa04728;path:hsa04933;path:hsa04934;path:hsa04614;path:hsa04976;path:hsa04540;path:hsa02010;path:hsa04261;path:hsa04020;path:hsa04024;path:hsa04371;path:hsa04270;path:hsa04924;path:hsa04072;path:hsa05031;path:hsa05012;path:hsa05200;path:hsa04080;path:hsa04022;path:hsa05032;path:hsa05034;path:hsa05030
CLOUD029,D03858,hsa04080;hsa04725,path:hsa04151;path:hsa04750;path:hsa04971;path:hsa04726;path:hsa04728;path:hsa04540;path:hsa04810;path:hsa04020;path:hsa04024;path:hsa00980;path:hsa00982;path:hsa04015;path:hsa04970;path:hsa04972;path:hsa05012;path:hsa04080;path:hsa04725;path:hsa04742;path:hsa05034;path:hsa05030;path:hsa04911
CLOUD030,,,path:hsa00380;path:hsa00340;path:hsa00330;path:hsa04726;path:hsa04728;path:hsa00360;path:hsa00260;path:hsa00982;path:hsa05031;path:hsa00350;path:hsa05034;path:hsa05030
