Drug1,Drug2,MACCS_TanimotoSimilarity
CLOUD120,CLOUD059,0.454545454545
CLOUD120,CLOUD052,0.432835820896
CLOUD120,CLOUD053,0.32183908046
CLOUD120,CLOUD050,0.4
CLOUD120,CLOUD051,0.148148148148
CLOUD120,CLOUD056,0.411111111111
CLOUD120,CLOUD057,0.532467532468
CLOUD120,CLOUD054,0.34328358209
CLOUD120,CLOUD055,0.2125
CLOUD238,CLOUD069,0.431578947368
CLOUD238,CLOUD068,0.459770114943
CLOUD238,CLOUD067,0.393617021277
CLOUD238,CLOUD066,0.247191011236
CLOUD238,CLOUD065,0.244444444444
CLOUD238,CLOUD064,0.265060240964
CLOUD238,CLOUD063,0.310344827586
CLOUD238,CLOUD062,0.281690140845
CLOUD238,CLOUD061,0.43023255814
CLOUD238,CLOUD060,0.5
CLOUD229,CLOUD058,0.371794871795
CLOUD229,CLOUD059,0.354430379747
CLOUD229,CLOUD054,0.25
CLOUD229,CLOUD055,0.277777777778
CLOUD229,CLOUD056,0.506172839506
CLOUD229,CLOUD057,0.448717948718
CLOUD229,CLOUD050,0.493827160494
CLOUD229,CLOUD051,0.173333333333
CLOUD229,CLOUD052,0.281690140845
CLOUD229,CLOUD053,0.279069767442
CLOUD015,CLOUD014,0.583333333333
CLOUD015,CLOUD011,0.363636363636
CLOUD015,CLOUD010,0.403225806452
CLOUD015,CLOUD013,0.491228070175
CLOUD015,CLOUD012,0.285714285714
CLOUD248,CLOUD198,0.133333333333
CLOUD248,CLOUD199,0.148148148148
CLOUD248,CLOUD194,0.342857142857
CLOUD248,CLOUD195,0.163636363636
CLOUD248,CLOUD196,0.238805970149
CLOUD248,CLOUD197,0.288461538462
CLOUD248,CLOUD190,0.163636363636
CLOUD248,CLOUD191,0.357142857143
CLOUD248,CLOUD192,0.25
CLOUD248,CLOUD193,0.301886792453
CLOUD220,CLOUD196,0.528571428571
CLOUD220,CLOUD197,0.491803278689
CLOUD220,CLOUD194,0.42
CLOUD220,CLOUD195,0.353846153846
CLOUD220,CLOUD192,0.269230769231
CLOUD220,CLOUD193,0.409090909091
CLOUD220,CLOUD190,0.257142857143
CLOUD220,CLOUD191,0.246153846154
CLOUD220,CLOUD198,0.179487179487
CLOUD220,CLOUD199,0.264705882353
CLOUD116,CLOUD008,0.353535353535
CLOUD116,CLOUD009,0.353846153846
CLOUD116,CLOUD001,0.4375
CLOUD116,CLOUD002,0.473684210526
CLOUD116,CLOUD003,0.385714285714
CLOUD116,CLOUD004,0.2
CLOUD116,CLOUD005,0.301369863014
CLOUD116,CLOUD006,0.421052631579
CLOUD116,CLOUD007,0.367647058824
CLOUD140,CLOUD061,0.279411764706
CLOUD140,CLOUD060,0.304347826087
CLOUD140,CLOUD063,0.164179104478
CLOUD140,CLOUD062,0.375
CLOUD140,CLOUD065,0.134328358209
CLOUD140,CLOUD064,0.4375
CLOUD140,CLOUD067,0.301369863014
CLOUD140,CLOUD066,0.209677419355
CLOUD140,CLOUD069,0.25
CLOUD140,CLOUD068,0.281690140845
CLOUD232,CLOUD147,0.349206349206
CLOUD232,CLOUD141,0.405405405405
CLOUD089,CLOUD065,0.458333333333
CLOUD089,CLOUD064,0.324324324324
CLOUD089,CLOUD067,0.530864197531
CLOUD089,CLOUD066,0.424657534247
CLOUD089,CLOUD061,0.526315789474
CLOUD089,CLOUD060,0.451219512195
CLOUD089,CLOUD063,0.507042253521
CLOUD089,CLOUD062,0.183098591549
CLOUD241,CLOUD157,0.151898734177
CLOUD241,CLOUD156,0.204545454545
CLOUD241,CLOUD155,0.3
CLOUD241,CLOUD154,0.20987654321
CLOUD089,CLOUD069,0.653846153846
CLOUD089,CLOUD068,0.428571428571
CLOUD241,CLOUD151,0.171428571429
CLOUD241,CLOUD150,0.0
CLOUD110,CLOUD068,0.641025641026
CLOUD110,CLOUD069,0.691358024691
CLOUD180,CLOUD159,0.164705882353
CLOUD180,CLOUD158,0.278481012658
CLOUD180,CLOUD151,0.305555555556
CLOUD180,CLOUD150,0.0
CLOUD180,CLOUD153,0.230769230769
CLOUD180,CLOUD152,0.275510204082
CLOUD180,CLOUD155,0.384615384615
CLOUD180,CLOUD154,0.264367816092
CLOUD180,CLOUD157,0.240963855422
CLOUD180,CLOUD156,0.35632183908
CLOUD175,CLOUD069,0.395061728395
CLOUD175,CLOUD068,0.350649350649
CLOUD175,CLOUD065,0.308823529412
CLOUD175,CLOUD064,0.223880597015
CLOUD175,CLOUD067,0.35
CLOUD175,CLOUD066,0.333333333333
CLOUD175,CLOUD061,0.351351351351
CLOUD175,CLOUD060,0.320512820513
CLOUD175,CLOUD063,0.281690140845
CLOUD175,CLOUD062,0.19298245614
CLOUD165,CLOUD037,0.245901639344
CLOUD165,CLOUD036,0.0869565217391
CLOUD165,CLOUD035,0.345679012346
CLOUD165,CLOUD034,0.287671232877
CLOUD165,CLOUD033,0.287671232877
CLOUD165,CLOUD032,0.189655172414
CLOUD165,CLOUD031,0.214285714286
CLOUD165,CLOUD030,0.140350877193
CLOUD165,CLOUD039,0.450704225352
CLOUD165,CLOUD038,0.485294117647
CLOUD152,CLOUD059,0.393258426966
CLOUD152,CLOUD058,0.569620253165
CLOUD152,CLOUD053,0.628205128205
CLOUD152,CLOUD052,0.317073170732
CLOUD152,CLOUD051,0.4
CLOUD152,CLOUD050,0.393939393939
CLOUD152,CLOUD057,0.529411764706
CLOUD152,CLOUD056,0.463157894737
CLOUD152,CLOUD055,0.453333333333
CLOUD152,CLOUD054,0.291139240506
CLOUD210,CLOUD065,0.350649350649
CLOUD210,CLOUD064,0.24358974359
CLOUD210,CLOUD067,0.43023255814
CLOUD210,CLOUD066,0.337662337662
CLOUD210,CLOUD061,0.474358974359
CLOUD210,CLOUD060,0.35632183908
CLOUD210,CLOUD063,0.452054794521
CLOUD210,CLOUD062,0.169014084507
CLOUD224,CLOUD075,0.232142857143
CLOUD224,CLOUD074,0.368421052632
CLOUD224,CLOUD077,0.28813559322
CLOUD224,CLOUD076,0.228571428571
CLOUD210,CLOUD069,0.438202247191
CLOUD210,CLOUD068,0.451219512195
CLOUD224,CLOUD073,0.244444444444
CLOUD224,CLOUD072,0.34693877551
CLOUD173,CLOUD070,0.2
CLOUD173,CLOUD071,0.25
CLOUD173,CLOUD072,0.145454545455
CLOUD173,CLOUD073,0.238636363636
CLOUD173,CLOUD074,0.25641025641
CLOUD173,CLOUD075,0.118644067797
CLOUD173,CLOUD076,0.0779220779221
CLOUD173,CLOUD077,0.140625
CLOUD173,CLOUD078,0.238805970149
CLOUD173,CLOUD079,0.333333333333
CLOUD206,CLOUD028,0.473684210526
CLOUD206,CLOUD029,0.269662921348
CLOUD206,CLOUD022,0.302083333333
CLOUD206,CLOUD023,0.285714285714
CLOUD206,CLOUD020,0.132530120482
CLOUD206,CLOUD021,0.373626373626
CLOUD206,CLOUD026,0.40404040404
CLOUD206,CLOUD027,0.34375
CLOUD206,CLOUD024,0.448275862069
CLOUD206,CLOUD025,0.315789473684
CLOUD223,CLOUD131,0.523076923077
CLOUD223,CLOUD130,0.378787878788
CLOUD223,CLOUD133,0.481481481481
CLOUD223,CLOUD132,0.325301204819
CLOUD223,CLOUD135,0.371794871795
CLOUD223,CLOUD134,0.35
CLOUD223,CLOUD137,0.558823529412
CLOUD223,CLOUD136,0.253164556962
CLOUD223,CLOUD139,0.381578947368
CLOUD223,CLOUD138,0.534246575342
CLOUD158,CLOUD011,0.435483870968
CLOUD158,CLOUD010,0.34375
CLOUD158,CLOUD013,0.292307692308
CLOUD158,CLOUD012,0.253521126761
CLOUD158,CLOUD015,0.417910447761
CLOUD158,CLOUD014,0.378048780488
CLOUD158,CLOUD017,0.225352112676
CLOUD158,CLOUD016,0.3625
CLOUD158,CLOUD019,0.323943661972
CLOUD158,CLOUD018,0.470588235294
CLOUD239,CLOUD045,0.318181818182
CLOUD126,CLOUD069,0.620253164557
CLOUD126,CLOUD068,0.4875
CLOUD126,CLOUD065,0.485714285714
CLOUD126,CLOUD064,0.426470588235
CLOUD126,CLOUD067,0.518518518519
CLOUD126,CLOUD066,0.355263157895
CLOUD126,CLOUD061,0.493506493506
CLOUD126,CLOUD060,0.456790123457
CLOUD126,CLOUD063,0.432432432432
CLOUD126,CLOUD062,0.238805970149
CLOUD193,CLOUD188,0.294117647059
CLOUD193,CLOUD189,0.1875
CLOUD193,CLOUD186,0.333333333333
CLOUD193,CLOUD187,0.34328358209
CLOUD193,CLOUD184,0.247058823529
CLOUD193,CLOUD185,0.227272727273
CLOUD193,CLOUD182,0.266666666667
CLOUD193,CLOUD183,0.21875
CLOUD193,CLOUD180,0.303797468354
CLOUD193,CLOUD181,0.516129032258
CLOUD239,CLOUD200,0.140350877193
CLOUD239,CLOUD201,0.369565217391
CLOUD239,CLOUD202,0.404761904762
CLOUD239,CLOUD203,0.354166666667
CLOUD239,CLOUD204,0.169811320755
CLOUD239,CLOUD205,0.236111111111
CLOUD239,CLOUD206,0.270588235294
CLOUD239,CLOUD207,0.340909090909
CLOUD239,CLOUD208,0.407407407407
CLOUD239,CLOUD209,0.328358208955
CLOUD084,CLOUD022,0.386666666667
CLOUD084,CLOUD023,0.359375
CLOUD084,CLOUD020,0.216666666667
CLOUD084,CLOUD021,0.405405405405
CLOUD084,CLOUD026,0.573333333333
CLOUD084,CLOUD027,0.384615384615
CLOUD084,CLOUD024,0.346153846154
CLOUD084,CLOUD025,0.485714285714
CLOUD084,CLOUD028,0.433734939759
CLOUD084,CLOUD029,0.508196721311
CLOUD164,CLOUD140,0.176470588235
CLOUD164,CLOUD141,0.410256410256
CLOUD164,CLOUD142,0.378787878788
CLOUD164,CLOUD143,0.4
CLOUD164,CLOUD144,0.424242424242
CLOUD164,CLOUD145,0.281690140845
CLOUD164,CLOUD146,0.426470588235
CLOUD164,CLOUD147,0.181818181818
CLOUD164,CLOUD148,0.237288135593
CLOUD164,CLOUD149,0.428571428571
CLOUD255,CLOUD028,0.222222222222
CLOUD255,CLOUD029,0.220338983051
CLOUD171,CLOUD036,0.238095238095
CLOUD171,CLOUD037,0.152173913043
CLOUD171,CLOUD034,0.339622641509
CLOUD171,CLOUD035,0.194444444444
CLOUD171,CLOUD032,0.179487179487
CLOUD171,CLOUD033,0.224137931034
CLOUD171,CLOUD030,0.135135135135
CLOUD171,CLOUD031,0.377777777778
CLOUD149,CLOUD107,0.470588235294
CLOUD096,CLOUD074,0.351851851852
CLOUD171,CLOUD038,0.2
CLOUD171,CLOUD039,0.176470588235
CLOUD096,CLOUD075,0.363636363636
CLOUD096,CLOUD072,0.380952380952
CLOUD096,CLOUD073,0.494382022472
CLOUD096,CLOUD070,0.411764705882
CLOUD096,CLOUD071,0.453333333333
CLOUD211,CLOUD105,0.2875
CLOUD211,CLOUD104,0.416666666667
CLOUD211,CLOUD107,0.272727272727
CLOUD211,CLOUD106,0.329545454545
CLOUD211,CLOUD101,0.302325581395
CLOUD211,CLOUD100,0.470588235294
CLOUD211,CLOUD103,0.290697674419
CLOUD211,CLOUD102,0.243902439024
CLOUD228,CLOUD062,0.270833333333
CLOUD228,CLOUD063,0.292307692308
CLOUD228,CLOUD060,0.28
CLOUD228,CLOUD061,0.207792207792
CLOUD211,CLOUD109,0.388888888889
CLOUD211,CLOUD108,0.360465116279
CLOUD228,CLOUD064,0.25
CLOUD228,CLOUD065,0.261538461538
CLOUD225,CLOUD209,0.271604938272
CLOUD225,CLOUD208,0.323529411765
CLOUD159,CLOUD089,0.444444444444
CLOUD159,CLOUD088,0.322033898305
CLOUD159,CLOUD085,0.215384615385
CLOUD159,CLOUD084,0.514705882353
CLOUD159,CLOUD087,0.194444444444
CLOUD159,CLOUD086,0.493975903614
CLOUD159,CLOUD081,0.578125
