Drug1,Drug2,d_A,d_B,d_AB,s_AB,AB_Min,AB_Mean
CLOUD047,CLOUD112,2.23529411765,1.09523809524,2.10526315789,0.439997051452,2.235294117647059,2.773109243697479
CLOUD047,CLOUD113,2.23529411765,2.16666666667,2.13043478261,-0.0705456095482,2.235294117647059,2.872549019607843
CLOUD047,CLOUD114,2.23529411765,1.68421052632,1.97222222222,0.0124699002408,2.0,2.913312693498452
CLOUD047,CLOUD115,2.23529411765,1.0,2.63157894737,1.01393188854,2.7058823529411766,2.8823529411764706
CLOUD047,CLOUD116,2.23529411765,2.0,2.73684210526,0.61919504644,2.823529411764706,3.0
CLOUD047,CLOUD117,2.23529411765,3.0,1.78260869565,-0.835038363171,2.0,2.911764705882353
CLOUD047,CLOUD118,2.23529411765,0,3.55555555556,2.43790849673,3.6470588235294117,3.6470588235294117
CLOUD047,CLOUD119,2.23529411765,1.5,2.17391304348,0.306265984655,2.235294117647059,2.656862745098039
CLOUD047,CLOUD120,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD121,2.23529411765,0,2.72222222222,1.6045751634,2.764705882352941,2.764705882352941
CLOUD047,CLOUD122,2.23529411765,2.1,2.44444444444,0.276797385621,2.5294117647058822,3.1411764705882352
CLOUD047,CLOUD123,2.23529411765,0,3.05555555556,1.93790849673,3.1176470588235294,3.1176470588235294
CLOUD047,CLOUD124,2.23529411765,3.0,2.25,-0.367647058824,2.411764705882353,2.627450980392157
CLOUD047,CLOUD125,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD126,2.23529411765,2.2,1.48148148148,-0.736165577342,1.7058823529411764,2.8588235294117648
CLOUD047,CLOUD127,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD128,2.23529411765,0,2.88888888889,1.77124183007,2.9411764705882355,2.9411764705882355
CLOUD047,CLOUD129,2.23529411765,0,2.88888888889,1.77124183007,2.9411764705882355,2.9411764705882355
CLOUD047,CLOUD130,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD131,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD132,2.23529411765,0,2.77777777778,1.66013071895,2.823529411764706,2.823529411764706
CLOUD047,CLOUD133,2.23529411765,1.77777777778,1.96153846154,-0.044997486174,2.1176470588235294,2.803921568627451
CLOUD047,CLOUD134,2.23529411765,2.36363636364,1.67857142857,-0.62089381207,1.8235294117647058,2.93048128342246
CLOUD047,CLOUD135,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD136,2.23529411765,0,2.38888888889,1.27124183007,2.411764705882353,2.411764705882353
CLOUD047,CLOUD137,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD138,2.23529411765,None,2.73684210526,None,2.823529411764706,2.823529411764706
CLOUD047,CLOUD139,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD140,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD141,2.23529411765,2.0,2.21739130435,0.0997442455243,2.176470588235294,3.0980392156862746
CLOUD047,CLOUD142,2.23529411765,3.0,2.3,-0.317647058824,2.3529411764705883,2.5294117647058822
CLOUD047,CLOUD143,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD144,2.23529411765,0,2.88888888889,1.77124183007,2.9411764705882355,2.9411764705882355
CLOUD047,CLOUD145,2.23529411765,2.27272727273,2.5,0.245989304813,2.6470588235294117,3.128342245989305
CLOUD047,CLOUD146,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD147,2.23529411765,None,2.31578947368,None,2.4705882352941178,2.4705882352941178
CLOUD047,CLOUD148,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD149,2.23529411765,2.0,2.7,0.582352941176,2.823529411764706,2.8823529411764706
CLOUD047,CLOUD150,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD151,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD152,2.23529411765,4.0,2.68421052632,-0.433436532508,2.764705882352941,3.1470588235294117
CLOUD047,CLOUD153,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD154,2.23529411765,0,3.11111111111,1.99346405229,3.1176470588235294,3.1176470588235294
CLOUD047,CLOUD155,2.23529411765,0,3.0,1.88235294118,3.0588235294117645,3.0588235294117645
CLOUD047,CLOUD156,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD157,2.23529411765,0,3.88888888889,2.77124183007,3.9411764705882355,3.9411764705882355
CLOUD047,CLOUD158,2.23529411765,1.16666666667,2.26086956522,0.559889173061,2.176470588235294,3.107843137254902
CLOUD047,CLOUD159,2.23529411765,2.2,2.81818181818,0.600534759358,2.8823529411764706,3.223529411764706
CLOUD047,CLOUD160,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD161,2.23529411765,0,None,None,None,None
CLOUD047,CLOUD162,2.23529411765,0,2.77777777778,1.66013071895,2.823529411764706,2.823529411764706
CLOUD047,CLOUD163,2.23529411765,0,3.0,1.88235294118,3.0588235294117645,3.0588235294117645
CLOUD047,CLOUD164,2.23529411765,0,None,None,None,None
