Drug1,Drug2,Batch,InteractionType,Value,MahalanobisDistance
CLOUD179,CLOUD110,Batch2,Emergent,0.837093887281,3.39936600584
CLOUD259,CLOUD141,Batch1,Emergent,0.967803586085,5.30889940586
CLOUD141,CLOUD031,Batch2,Emergent,0.928129465656,11.1425704712
CLOUD063,CLOUD001,Batch2,Emergent,1.86330662941,7.98636509853
CLOUD063,CLOUD003,Batch2,Emergent,2.30074842466,24.9345729172
CLOUD063,CLOUD005,Batch2,Emergent,1.46493914811,6.11773793235
CLOUD229,CLOUD209,Batch2,Emergent,0.561645279274,4.81848701639
CLOUD063,CLOUD008,Batch1,Emergent,2.29045979214,5.74536741857
CLOUD194,CLOUD008,Batch2,Emergent,0.660564206274,7.17760843489
CLOUD117,CLOUD087,Batch2,Emergent,0.773374068145,4.29187256584
CLOUD196,CLOUD027,Batch2,Emergent,0.672690403763,5.70824584418
CLOUD194,CLOUD005,Batch2,Emergent,0.741364425772,10.0760843731
CLOUD156,CLOUD147,Batch1,Emergent,1.64378629262,9.44885540429
CLOUD102,CLOUD063,Batch1,Emergent,2.02917838955,5.23951618406
CLOUD196,CLOUD110,Batch2,Emergent,0.792191063347,9.76591049706
CLOUD233,CLOUD134,Batch1,Emergent,1.13761575776,4.62756929309
CLOUD196,CLOUD117,Batch2,Emergent,1.68975735657,18.4833467425
CLOUD194,CLOUD073,Batch1,Emergent,1.78505817511,4.16723450196
CLOUD192,CLOUD098,Batch2,Emergent,0.717541545051,10.8647788631
CLOUD266,CLOUD204,Batch1,Emergent,1.43064996033,7.7918264282
CLOUD092,CLOUD063,Batch2,Emergent,1.62077586979,14.5079740377
CLOUD257,CLOUD145,Batch1,Emergent,1.38225934675,5.06270470832
CLOUD195,CLOUD119,Batch1,Emergent,1.05597734783,5.32203638716
CLOUD209,CLOUD021,Batch1,Emergent,1.71585900719,5.18222082037
CLOUD199,CLOUD057,Batch2,Emergent,1.46242138481,5.86626977039
CLOUD169,CLOUD063,Batch2,Emergent,1.48626948744,7.42727586413
CLOUD195,CLOUD116,Batch2,Emergent,0.735752055901,10.4828763664
CLOUD162,CLOUD063,Batch1,Emergent,2.09748275656,7.82450945762
CLOUD103,CLOUD063,Batch1,Emergent,1.9885779952,4.03651669445
CLOUD110,CLOUD057,Batch1,Emergent,1.81006755125,6.08977867813
CLOUD215,CLOUD037,Batch1,Emergent,0.964662198041,5.37065020419
CLOUD225,CLOUD155,Batch2,Emergent,0.643075636621,9.42342738925
CLOUD103,CLOUD069,Batch1,Emergent,1.88414102865,5.56308121161
CLOUD152,CLOUD042,Batch1,Emergent,2.25179411665,4.23593735824
CLOUD058,CLOUD003,Batch2,Emergent,1.35437364343,24.4482708164
CLOUD233,CLOUD138,Batch1,Emergent,1.27635158145,4.78500443791
CLOUD198,CLOUD194,Batch1,Emergent,1.43014362375,3.99361055663
CLOUD131,CLOUD027,Batch2,Emergent,0.624748726729,7.79025175968
CLOUD264,CLOUD027,Batch2,Emergent,0.604015709896,7.21391647261
CLOUD117,CLOUD076,Batch1,Emergent,1.23142566555,8.35471283391
CLOUD153,CLOUD077,Batch1,Emergent,2.18337047803,8.50133561526
CLOUD163,CLOUD010,Batch2,Emergent,0.917926014631,11.1739881793
CLOUD109,CLOUD091,Batch2,Emergent,0.587863170787,5.55454636071
CLOUD198,CLOUD077,Batch1,Emergent,1.22549765031,4.51567336068
CLOUD112,CLOUD006,Batch2,Emergent,0.844937390617,8.03020076782
CLOUD112,CLOUD005,Batch2,Emergent,0.875072501551,12.6260184097
CLOUD059,CLOUD006,Batch2,Emergent,0.669816639656,5.52020550371
