Drug,NumberInteractions,NumberIncreasing,NumberDecreasing,NumberEmergent,Filtered,All,Filtered_MsigD_BP,Filtered_MsigD_MF,Filtered_Msig_ChemGen_Perturbation,Filtered_MsigD_CC,Filtered_MsigD_KeGG,All_MsigD_BP,All_MsigD_MF,All_Msig_ChemGen_Perturbation,All_MsigD_CC,All_MsigD_KeGG,Filtered_AvgDegree,All_AvgDegree,Filtered_AvgClustering,All_AvgClustering,Filtered_Disease,All_Disease,KeGG_Indirect,KeGG_Direct,SideEffects_TwoSide_CLOUDs.gml,SideEffects_CLOUD_to_Offsides,SideEffects_Drugbank_2018-07-03_CLOUD_Only.gml,SideEffects_CLOUD_to_SIDER,ATC_SecondLevel,ATC_FirstLevel,Enzymes,Transporters,Carriers
CLOUD078,7,5,0,2,5,17,617,72,206,68,52,739,111,434,89,61,92.0,48.75,0.0917062443204,0.104342174364,180,320,125,0,0,153,33,267,1,1,9,5,1
CLOUD079,3,2,1,0,10,12,367,51,241,60,6,448,57,313,66,7,20.3,17.75,0.0813451015759,0.0876288544878,186,193,25,4,0,295,9,22,1,1,2,0,0
CLOUD080,0,0,0,0,20,25,936,140,681,93,31,995,172,781,112,34,186.38888888888889,163.6818181818182,0.0924703761766,0.0971162445227,480,593,79,1,10,418,4,233,1,1,2,2,2
CLOUD081,5,1,4,0,2,9,304,18,41,13,3,397,44,165,24,12,21.0,11.555555555555555,0.146316646317,0.291454895548,102,286,19,0,56,707,73,169,2,2,8,1,1
CLOUD082,2,1,1,0,18,20,1184,100,430,123,59,1336,115,506,131,66,98.44444444444444,100.65,0.112019177036,0.104327860005,479,562,146,0,0,0,23,27,2,2,2,0,0
CLOUD083,4,0,3,1,56,63,2237,248,1321,206,80,2303,269,1375,213,95,173.4,155.6290322580645,0.092475590401,0.103585237167,1267,1320,202,0,0,0,15,0,1,1,7,0,0
CLOUD084,8,6,1,1,53,53,1234,138,628,113,28,1314,175,721,118,35,69.7843137254902,69.6470588235294,0.0903217234811,0.0993317399842,491,541,81,3,54,437,110,769,1,1,7,3,1
CLOUD085,7,4,3,0,0,5,0,0,0,0,0,141,29,71,3,12,nan,10.5,nan,0.133638583639,0,175,16,1,21,934,8,143,1,1,6,0,0
CLOUD086,5,3,1,1,16,18,905,135,521,103,12,958,146,540,103,19,223.875,200.05555555555554,0.0846662510994,0.0920680066753,473,494,46,1,0,176,100,70,1,1,3,0,0
CLOUD087,10,1,8,1,20,24,1093,151,610,75,54,1180,169,694,77,62,173.75,149.375,0.116919557144,0.113981875387,658,690,136,0,0,93,22,10,1,1,4,1,1
CLOUD088,3,0,3,0,31,53,1370,171,847,102,49,1542,252,1015,116,70,156.31034482758622,100.06122448979592,0.0897714244652,0.12592996756,711,832,144,3,0,0,47,0,2,2,14,13,4
CLOUD089,16,0,9,7,25,62,1135,145,704,72,38,1382,208,1144,124,58,159.79166666666666,79.49152542372882,0.102336523835,0.121308307342,641,839,120,2,94,470,22,272,2,1,21,30,4
CLOUD090,8,1,6,1,2,3,73,25,47,26,9,160,40,74,43,9,33.5,43.333333333333336,0.0865679605175,0.0930422348151,34,51,20,0,0,288,9,62,1,1,0,0,1
CLOUD091,4,1,3,0,14,26,825,110,374,123,28,1001,170,587,135,39,247.07142857142858,138.34615384615384,0.162595228938,0.144852897377,551,647,85,2,0,0,23,0,1,1,10,4,3
CLOUD092,9,0,6,3,39,51,1261,218,935,141,65,1339,246,1029,146,73,146.1891891891892,115.20833333333333,0.0678133785926,0.11277991971,649,692,166,2,32,454,47,58,1,1,12,4,2
CLOUD093,7,3,3,1,1,5,106,9,31,1,4,195,48,87,26,5,43.0,78.75,0.0454042081949,0.0304523093301,51,210,17,4,68,426,53,50,1,1,1,5,2
