Drug1,Drug2,D_Drug1,D_Drug2,D_D1_D2,S
CLOUD001,CLOUD048,1.0,1.54545454545,1.14285714286,-0.12987012987
CLOUD001,CLOUD049,1.0,1.5,1.96296296296,0.712962962963
CLOUD001,CLOUD050,1.0,2.25,2.14285714286,0.517857142857
CLOUD001,CLOUD051,1.0,1.30769230769,1.1875,0.0336538461538
CLOUD001,CLOUD052,1.0,1.61111111111,1.57142857143,0.265873015873
CLOUD001,CLOUD053,1.0,1.29166666667,1.81481481481,0.668981481481
CLOUD001,CLOUD054,1.0,1.28125,1.62857142857,0.487946428571
CLOUD001,CLOUD055,1.0,2.0,2.4,0.9
CLOUD001,CLOUD056,1.0,2.07692307692,2.25,0.711538461538
CLOUD001,CLOUD057,1.0,1.0,1.33333333333,0.333333333333
CLOUD001,CLOUD058,1.0,1.69565217391,1.92307692308,0.57525083612
CLOUD001,CLOUD059,1.0,1.39130434783,1.75510204082,0.559449866903
CLOUD001,CLOUD060,1.0,1.83333333333,2.26666666667,0.85
CLOUD001,CLOUD061,1.0,2.33333333333,2.0,0.333333333333
CLOUD001,CLOUD062,1.0,1.3698630137,1.93421052632,0.749279019466
CLOUD001,CLOUD063,1.0,1.31746031746,1.81818181818,0.659451659452
CLOUD001,CLOUD064,1.0,1.46774193548,1.98461538462,0.750744416873
CLOUD001,CLOUD065,1.0,2.0,2.0,0.5
CLOUD001,CLOUD066,1.0,1.71428571429,1.5,0.142857142857
CLOUD001,CLOUD067,1.0,3.0,2.16666666667,0.166666666667
CLOUD001,CLOUD068,1.0,1.77777777778,2.33333333333,0.944444444444
CLOUD001,CLOUD069,1.0,1.7619047619,2.04166666667,0.660714285714
CLOUD001,CLOUD070,1.0,1.0,0.2,-0.8
CLOUD001,CLOUD071,1.0,1.1320754717,1.94402985075,0.877992114897
CLOUD001,CLOUD072,1.0,1.2380952381,1.375,0.255952380952
CLOUD001,CLOUD073,1.0,1.94736842105,2.22727272727,0.753588516746
CLOUD001,CLOUD074,1.0,2.0,1.14285714286,-0.357142857143
CLOUD001,CLOUD075,1.0,2.33333333333,2.16666666667,0.5
CLOUD001,CLOUD076,1.0,1.375,1.27272727273,0.0852272727273
