Drug1,Drug2,Batch,Plate,Well,S1,S2,C,Expected,Difference
CLOUD071,CLOUD049,Batch1,1315033,E08,0.2840968205881452,0.3400960861715474,0.15725695400716053,0.5275726899838842,-0.3703157359767236
CLOUD071,CLOUD050,Batch2,1315068,L14,0.26413985900656356,0.06787672527888086,0.21359695324528005,0.3140876356404536,-0.10049068239517356
CLOUD071,CLOUD051,Batch2,1315097,K18,0.26413985900656356,0.047727088566566794,0.09245604083947827,0.29926032112836365,-0.20680428028888537
CLOUD071,CLOUD052,Batch1,1315056,O07,0.2840968205881452,0.13660148719361054,0.3803359955935004,0.3818902595824388,-0.0015542639889383758
CLOUD071,CLOUD053,Batch1,1315042,I20,0.2840968205881452,0.8358054320599074,0.7686587716882401,0.8824525867695319,-0.11379381508129172
CLOUD071,CLOUD054,Batch2,1315100,M06,0.26413985900656356,0,0.07989628069038175,0.26413985900656356,-0.18424357831618182
CLOUD071,CLOUD055,Batch1,1315024,O19,0.2840968205881452,0.5363995226292114,0.6713485724777379,0.6681069442733989,0.003241628204339042
CLOUD071,CLOUD056,Batch2,1315072,H09,0.26413985900656356,0.23439483564270863,0.05680252815817205,0.4366216758107405,-0.37981914765256847
CLOUD071,CLOUD057,Batch1,1315028,N08,0.2840968205881452,0.8141663715885693,0.8338382447443312,0.8669611145786156,-0.03312286983428436
CLOUD071,CLOUD058,Batch1,1315047,B24,0.2840968205881452,0.4139967563266929,0.573120352519967,0.5804784147086196,-0.007358062188652648
CLOUD071,CLOUD059,Batch2,1315098,J24,0.26413985900656356,0.12713718499311244,0.4181994976095941,0.3576950458811039,0.06050445172849017
CLOUD071,CLOUD060,Batch1,1315063,L03,0.2840968205881452,0.08093008616280441,0.3472872486918204,0.3420349265821722,0.005252322109648211
CLOUD071,CLOUD061,Batch2,1315087,C14,0.26413985900656356,0,0.17875374767036717,0.26413985900656356,-0.08538611133619639
CLOUD071,CLOUD062,Batch1,1315050,K21,0.2840968205881452,0.12130114140579577,0.4877444230239603,0.37093669338684143,0.11680772963711888
CLOUD071,CLOUD063,Batch1,1315053,P17,0.2840968205881452,0.7556534777685975,0.9173781327458,0.8250715478563093,0.09230658488949073
CLOUD071,CLOUD064,Batch1,1315022,P17,0.2840968205881452,0.43404020930873033,0.6282015973561003,0.5948275864248522,0.03337401093124803
CLOUD071,CLOUD065,Batch1,1315022,H16,Drug2Problem,Drug2Problem,Drug2Problem,Drug2Problem,Drug2Problem
CLOUD071,CLOUD066,Batch2,1315087,P06,0.26413985900656356,0.16173729843610737,0.6856008427193907,0.38315589023765506,0.30244495248173564
CLOUD071,CLOUD067,Batch2,1315116,O10,0.26413985900656356,0,0.20508872862815017,0.26413985900656356,-0.05905113037841339
CLOUD071,CLOUD068,Batch2,1315097,N05,0.26413985900656356,0.0017016449234260888,0,0.26539203167983666,-0.26539203167983666
CLOUD071,CLOUD069,Batch2,1315089,O19,0.26413985900656356,0.011357804607946583,0.3845717526942712,0.27249761470674305,0.11207413798752813
CLOUD071,CLOUD070,Batch1,1315027,C01,0.2840968205881452,0.10204456334998885,0.3078123565592582,0.35715084793209667,-0.04933849137283847
CLOUD072,CLOUD001,Batch1,1315034,D03,0.4343680738613264,0.2966125034425777,0.08473331497291835,0.6021415755003656,-0.5174082605274473
CLOUD072,CLOUD002,Batch1,1315007,I08,0.4343680738613264,0.2708292350264258,0,0.5875577357239872,-0.5875577357239872
CLOUD072,CLOUD003,Batch1,1315025,H06,0.4343680738613264,0.30842437039077075,0,0.6088227445535659,-0.6088227445535659
CLOUD072,CLOUD004,Batch1,1315028,H18,0.4343680738613264,0.15465589522323198,0.04617644358762504,0.5218463857651441,-0.475669942177519
CLOUD072,CLOUD005,Batch1,1315014,H02,0.4343680738613264,0.048701000642614484,0.3941063068025337,0.4619149146596892,-0.06780860785715548
CLOUD072,CLOUD006,Batch2,1315078,N06,0.021081489884666457,0.04795667558004488,0.09043027307349495,0.06802716729356839,0.02240310577992656
CLOUD072,CLOUD007,Batch1,1315033,M22,0.4343680738613264,0.10912643768606309,0.6897089874231157,0.4960934710023462,0.19361551642076952
CLOUD072,CLOUD008,Batch2,1315099,O05,0.021081489884666457,0.032358263781973415,0.10663641520136141,0.05275759325603483,0.05387882194532658
CLOUD072,CLOUD009,Batch1,1315026,D20,0.4343680738613264,0.3235498550838677,0.2536491324703938,0.6173782015943031,-0.36372906912390934
CLOUD072,CLOUD010,Batch1,1315054,J24,0.4343680738613264,0.42531901220967594,0.6612503442577802,0.6749420859608835,-0.013691741703103277
CLOUD072,CLOUD011,Batch2,1315069,L04,0.021081489884666457,0,0.03127785430678238,0.021081489884666457,0.010196364422115922
CLOUD072,CLOUD012,Batch2,1315114,K06,0.021081489884666457,0.03411392917915901,0,0.0544762466109088,-0.0544762466109088
CLOUD072,CLOUD013,Batch1,1315057,B07,0.4343680738613264,0.06637290002754058,0.24355090425043602,0.47191070514731376,-0.22835980089687774
CLOUD072,CLOUD014,Batch2,1315103,G17,0.021081489884666457,0.09171325932528432,0.15890122356373074,0.110861297061195,0.04803992650253573
CLOUD072,CLOUD015,Batch2,1315122,A17,0.021081489884666457,0.09245604083947827,0.07908597358398843,0.11158841963441096,-0.03250244605042253
CLOUD072,CLOUD016,Batch2,1315089,C01,0.021081489884666457,0.25019582421737846,0.03289846851956903,0.26600281336462045,-0.23310434484505144
CLOUD072,CLOUD017,Batch2,1315108,O05,0.021081489884666457,0.42130567485076853,0.11068795073332803,0.4335054134127159,-0.3228174626793879
CLOUD072,CLOUD018,Batch1,1315024,B16,0.4343680738613264,0.4738211083570489,0.2701735059212338,0.7023764200264851,-0.43220291410525136
CLOUD072,CLOUD019,Batch2,1315074,E19,0.021081489884666457,0.16761202495745897,0.1362126245847177,0.1851600036334363,-0.0489473790487186
CLOUD072,CLOUD020,Batch1,1315008,F04,0.4343680738613264,0.1252573736737878,0.0415863398512806,0.5052176433955026,-0.463631303544222
CLOUD072,CLOUD021,Batch1,1315006,E24,0.4343680738613264,0.19596682885033195,0.5171210869365648,0.5452131687232274,-0.02809208178666267
CLOUD072,CLOUD022,Batch1,1315016,G13,0.4343680738613264,0.2549605906807779,0.03148811163132283,0.5785819238575488,-0.547093812226226
CLOUD072,CLOUD023,Batch1,1315039,D23,0.4343680738613264,0.5549129410324674,0.38217203708803815,0.7482445495367972,-0.36607251244875905
CLOUD072,CLOUD024,Batch2,1315067,A10,0.021081489884666457,0.9997298976312022,1.0,0.9997355917915578,0.0002644082084422017
